experiment_id,created_at,style,theme,copy_variant,caption_variant,duration,clips,bpm,overlay_text,caption,audio_id,audio_title,audio_artist,audio_version,audio_start_sec,audio_segment,audio_available,music_file
20260818T172456Z-fd0a6a,2026-08-18T17:26:18.000764+00:00,dark_luxury,money,soon,minimal,25.0,17,100.0,Soon.,Soon.,gozalo_super_slowed,GOZALO,Ariis,Super Slowed,35.0,gozalo_super_slowed@35.0,0,
20260819T073959Z-f1b647,2026-08-19T07:41:06.416161+00:00,dark_luxury,dark_cars,soon,aspiration,25.0,17,100.0,Soon.,What is the first car on your list?,te_conoci_super_slowed,TE CONOCÍ,bxkq & PXLWYSE,Super Slowed,0.0,te_conoci_super_slowed@0.0,0,
20260819T185329Z-120058,2026-08-19T18:54:23.095969+00:00,dark_luxury,dark_cars,none,aspiration,25.0,17,100.0,,What are you building toward?,gozalo_super_slowed,GOZALO,Ariis,Super Slowed,0.0,gozalo_super_slowed@0.0,1,assets/music/gozalo_super_slowed.mp3
20260819T201152Z-5b1ca4,2026-08-19T20:12:53.411536+00:00,dark_luxury,dark_life,none,minimal,25.0,17,100.0,,Built for more.,luz_roja_slowed,LUZ ROJA,bxkq,Slowed,25.0,luz_roja_slowed@25.0,1,assets/music/luz_roja_slowed.mp3
20260819T224223Z-57fec0,2026-08-19T22:43:31.554215+00:00,dark_luxury,dark_cars,one_day,minimal,25.0,17,100.0,One day.,Soon.,no_era_amor_super_slowed,NO ERA AMOR,DJ Asul,Super Slowed,50.0,no_era_amor_super_slowed@50.0,1,assets/music/no_era_amor_super_slowed.mp3
20260820T073600Z-0883a8,2026-08-20T07:37:00.143840+00:00,dark_luxury,dark_life,one_day,choice,25.0,17,100.0,One day.,Rooftop or private jet?,luz_roja_slowed,LUZ ROJA,bxkq,Slowed,40.0,luz_roja_slowed@40.0,1,assets/music/luz_roja_slowed.mp3
20260820T105539Z-0cf750,2026-08-20T10:57:03.853551+00:00,dark_luxury,money,earned_not_given,minimal,25.0,17,100.0,Earned. Not given.,One day.,gozalo_super_slowed,GOZALO,Ariis,Super Slowed,35.0,gozalo_super_slowed@35.0,1,assets/music/gozalo_super_slowed.mp3
20260821T073725Z-513e3b,2026-08-21T07:38:29.253974+00:00,dark_luxury,money,soon,choice,25.0,17,100.0,Soon.,Cash or assets?,luz_roja_slowed,LUZ ROJA,bxkq,Slowed,0.0,luz_roja_slowed@0.0,1,assets/music/luz_roja_slowed.mp3
